fare_id,price,currency_type,payment_method,transfers,transfer_duration
HR-590fe4c4-e2d5-11e3-a6e1-0ef1468d7330,20.00,USD,1,0,0
HR-58fc9f18-e2d5-11e3-a6e1-0ef1468d7330,2.00,USD,1,0,0
HR-5906aef4-e2d5-11e3-a6e1-0ef1468d7330,1.00,USD,1,0,0
HR-59348ee6-e2d5-11e3-a6e1-0ef1468d7330,20.00,USD,1,0,0
HR-5919106c-e2d5-11e3-a6e1-0ef1468d7330,2.00,USD,1,0,0
HR-592af4a8-e2d5-11e3-a6e1-0ef1468d7330,1.00,USD,1,0,0
HR-e5c8e60c-6402-49ea-82f1-e6f5e15cdc1b,4.00,USD,1,0,0
HR-ab177055-a82f-4444-99e9-eb59ceb9074b,8.00,USD,1,0,0
HR-c91d3d04-33fd-4713-87b2-7f8cee8d5846,7.00,USD,1,0,0
HR-f117d345-cc24-49a3-bcac-0efd8be3116d,75.00,USD,1,0,0
HR-96277c22-b42f-4a5d-8453-8c0ff680cea7,282.00,USD,1,0,0
HR-835ec863-ac32-4c01-bc2a-ff211c313373,274.50,USD,1,0,0
HR-7c684afc-e7b4-4c1c-bbaf-cdc0c0ce9e09,309.50,USD,1,0,0
HR-0d73f2bf-6936-4046-830e-cc282e048788,1.00,USD,1,0,0
HR-4dfac365-87d7-46a2-baad-57391dc7d418,8.00,USD,1,0,0
HR-a46e9930-c3eb-475c-8c1b-2e353056851b,4.00,USD,1,0,0
HR-dbdb468b-d1b8-4aac-b026-19792cc5e38f,7.00,USD,1,0,0
HR-37f6687b-6d42-49ac-891c-7f3f6e4777e9,75.00,USD,1,0,0
HR-820e5954-14d7-41fd-9123-e706be47b944,282.00,USD,1,0,0
HR-9797aed4-2c85-495e-bd62-6b83764fd177,274.50,USD,1,0,0
HR-78b4e843-ab6e-4f4b-a64c-1948cf5788b4,309.50,USD,1,0,0
HR-3af158f9-33a1-411e-af2d-e1f7c22565d2,1.00,USD,1,0,0
HR-527af3ae-fab0-4e86-b602-cf9aeb5c296e,6.00,USD,1,0,0
HR-7a611e29-2ef2-4c67-bc17-4d96c89ca556,3.00,USD,1,0,0
HR-0ab51904-47cf-4c1f-bf4a-27d060be7f5e,5.50,USD,1,0,0
HR-5f982771-789a-4cf7-9b3f-64d60884ebb9,56.50,USD,1,0,0
HR-8774dda8-8e99-418b-81d7-38e6cde8f72e,201.50,USD,1,0,0
HR-c2f57306-a0a2-45c9-8fd8-92da79c09d04,196.00,USD,1,0,0
HR-d3a49549-64fb-4a89-83c7-fa075a8cc9e1,231.00,USD,1,0,0
HR-b89a39cb-bd16-4a44-a87f-52609ce7cdaa,1.00,USD,1,0,0
HR-a92c5c0a-7401-4ffd-8324-84f997384c0d,1.25,USD,1,0,0
HR-77716d1d-ba94-474d-9eab-116d7e5c8749,9.75,USD,1,0,0
HR-bbf80078-f046-4c38-9f61-5b45b217f6a9,8.75,USD,1,0,0
HR-1c1ec554-1773-4c5c-8be9-8da3a333658e,13.00,USD,1,0,0
HR-bf4a44eb-be02-49b2-9d17-444cea772eb6,120.00,USD,1,0,0
HR-715cccb5-8f47-4e42-a0f1-1d353a2ae0f5,415.50,USD,1,0,0
HR-d1d1fbad-6026-461f-8596-eb1579631bb1,448.50,USD,1,0,0
HR-079dc4d0-afe7-4d6d-b7c5-691d0e86eb84,427.00,USD,1,0,0
