trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
IMPERIAL-MIDTOWN-WEEKDAY-08,7:48:00,7:48:00,MIDTOWN,2,,0,,
MIDTOWN-LINCOLN-WEEKDAY-02,7:28:00,7:28:00,LINCOLN,2,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-09,7:50:00,7:50:00,IMPERIAL,1,,0,,
PAULUS-MIDTOWN-WEEKDAY-02,7:28:00,7:28:00,MIDTOWN,2,,0,,
PAULUS-BELFORD-WEEKDAY-01,7:28:00,7:28:00,BELFORD,2,,0,,
BEACON-NEWBURGH-WEEKDAY-04,07:23:00,07:23:00,NEWBURGH,2,,0,,
BELFORD-PAULUS-WEEKDAY-03,7:30:00,7:30:00,BELFORD,1,,0,,
BELFORD-WFC-WEEKDAY-04,7:30:00,7:30:00,BELFORD,1,,0,,
BELFORD-PIER11-WEEKDAY-04,7:30:00,07:30:00,BELFORD,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-09,7:30:00,7:30:00,HOBOKENNJTTSTATION,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-09,7:58:00,7:58:00,MIDTOWN,2,,0,,
IMPERIAL-WFC-WEEKDAY-04,7:30:00,7:30:00,IMPERIAL,1,,0,,
LIBERTY-PIER11-WEEKDAY-07,7:30:00,7:30:00,LIBERTYHARBOR,1,,0,,
LINCOLN-MIDTOWN-WEEKDAY-02,7:30:00,7:30:00,LINCOLN,1,,0,,
MIDTOWN-HOBOKEN14-WEEKDAY-05,7:30:00,7:30:00,MIDTOWN,1,,0,,
MIDTOWN-PAULUS-WEEKDAY-03,7:30:00,7:30:00,MIDTOWN,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-10,8:00:00,8:00:00,IMPERIAL,1,,0,,
PIER11-LIBERTY-WEEKDAY-06,7:30:00,7:30:00,PIER11,1,,0,,
PIER11-PAULUS-WEEKDAY-06,7:30:00,7:30:00,PIER11,1,,0,,
WFC-HOBOKENNJTT-WEEKDAY-08,7:30:00,7:30:00,BPT,1,,0,,
BELFORD-MIDTOWN-WEEKDAY-01,06:20:00,06:20:00,BELFORD,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-08,7:30:00,7:30:00,BPT,2,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-05,7:30:00,7:30:00,HOBOKENNJTTSTATION,2,,0,,
WFC-HOBOKENNJTT-WEEKDAY-07,7:30:00,7:30:00,HOBOKENNJTTSTATION,2,,0,,
PAULUS-PIER11-WEEKDAY-06,7:31:00,7:31:00,PIER11,2,,0,,
WFC-IMPERIAL-WEEKDAY-03,7:31:00,7:31:00,IMPERIAL,2,,0,,
HAVERSTRAW-OSSINING-WEEKDAY-04,07:35:00,07:35:00,OSSINING,2,,0,,
